,Gender,Core_Ind,Parent_Same_LastName,ACU_Distance,PRIZM_HouseholdIncome,QUAL_Familiarity,QUAL_Rank,HS_SIZE,HS_RankPercent,HS_GPA_CALC,NUM_Advanced_Courses,ACT,Visited,Taylor_County,US,Abilene,Texas,CoC,Ethnicity
544671,2,0,2,391.0,33107.0,0.0,0.0,455.0,65.71,3.3089999999999997,6.0,17.0,0,0,1,0,1,0,1
544672,2,0,2,178.0,50000.0,0.0,0.0,162.0,88.89,3.67,8.0,24.0,1,0,1,0,1,0,1
544681,1,1,2,148.0,60246.0,0.0,0.0,499.0,72.95,3.94,9.0,22.0,0,0,1,0,1,1,1
544683,2,0,2,235.0,45074.0,0.0,0.0,239.0,47.28,2.47,6.0,16.0,0,0,1,0,1,0,2
544684,1,1,2,138.0,43970.0,3.0,1.0,46.0,39.13,3.57,0.0,23.0,1,0,1,0,1,0,1
544691,1,1,2,181.0,86264.0,3.0,1.0,139.0,95.68,3.71,12.0,27.0,1,0,1,0,1,0,1
544693,1,1,1,179.0,70570.0,0.0,0.0,594.0,48.65,3.17,6.0,19.0,1,0,1,0,1,1,1
544700,1,0,2,180.0,66981.0,1.0,3.0,263.0,92.78,3.64,10.0,21.0,1,0,1,0,1,0,2
544702,1,0,2,172.0,97222.0,0.0,3.0,66.0,84.85,3.772,2.0,26.0,1,0,1,0,1,0,1
544706,2,1,2,300.0,118695.0,3.0,3.0,784.0,90.31,3.72,4.0,31.0,1,0,1,0,1,0,1
544707,1,0,0,181.0,56336.0,0.0,0.0,217.0,69.12,3.5,12.0,25.0,0,0,1,0,1,1,2
544715,1,0,2,192.0,83371.0,3.0,4.0,531.0,67.98,3.84,7.0,21.0,0,0,1,0,1,0,2
544721,1,0,2,166.0,70407.0,3.0,2.0,628.0,74.84,3.5869999999999997,6.0,20.0,0,0,1,0,1,0,1
544724,1,1,2,180.0,105275.0,4.0,4.0,551.0,99.64,4.0,14.0,30.0,1,0,1,0,1,1,1
544726,1,0,2,696.0,42051.0,4.0,3.0,25.0,96.0,3.93,0.0,31.0,1,0,1,0,0,0,1
544727,2,0,2,97.0,21870.0,2.0,2.0,43.0,95.35,4.0,13.0,25.0,0,0,1,0,1,0,1
544729,1,0,1,7.0,42167.0,0.0,0.0,429.0,81.59,3.895,4.0,19.0,1,0,1,1,1,0,2
544734,1,1,2,1034.0,64050.0,4.0,3.0,391.0,94.37,3.83,10.0,30.0,1,0,1,0,0,0,1
544736,1,0,2,185.0,113660.0,0.0,0.0,443.0,88.49,3.34,13.0,28.0,0,0,1,0,1,0,4
544741,1,0,2,152.0,89063.0,1.0,2.0,779.0,94.87,3.57,9.0,29.0,1,0,1,0,1,0,1
544743,2,0,1,137.0,70202.0,0.0,0.0,314.0,79.62,3.8280000000000003,10.0,28.0,0,0,1,0,1,0,3
544744,1,0,2,182.0,91321.0,3.0,2.0,666.0,97.6,3.67,12.0,30.0,0,0,1,0,1,0,3
544748,2,0,2,330.0,54115.0,3.0,4.0,285.0,57.89,3.81,4.0,16.0,1,0,1,0,1,1,2
544749,1,0,2,312.0,27285.0,1.0,2.0,189.0,13.23,2.8,1.0,24.0,0,0,1,0,1,0,2
544750,1,0,1,177.0,33214.0,3.0,3.0,780.0,81.54,3.16,7.0,26.0,0,0,1,0,1,1,4
544755,2,1,2,993.0,46490.0,1.0,2.0,72.0,70.83,2.95,3.0,24.0,0,0,1,1,0,0,1
