,enrollmentProbabilityScore,enrollFlag,RET_T2,RET_T3,ADM,CAN,Gender,Core_Ind,Parent_Same_LastName,ACU_Distance,PRIZM_HouseholdIncome,QUAL_Familiarity,QUAL_Rank,HS_SIZE,HS_RankPercent,HS_GPA_CALC,NUM_Advanced_Courses,ACT,Visited,Taylor_County,US,Abilene,Texas,CoC,Ethnicity
33037,,0,0,0,1,1,1,0,2,179.0,49011.0,0.0,0.0,540.0,74.07,3.572,12.0,24.0,0,0,1,0,1,0,2
33039,3.0,0,0,0,1,0,2,0,2,150.0,93347.0,2.0,3.0,470.0,80.85,3.85,11.0,28.0,1,0,1,0,1,0,1
33040,1.0,1,1,0,1,0,1,1,2,167.0,77756.0,3.0,4.0,70.0,71.43,3.47,0.0,22.0,1,0,1,0,1,0,1
33042,6.0,0,0,0,1,1,1,0,2,116.0,36184.0,2.0,3.0,371.0,96.5,4.0,14.0,31.0,0,0,1,0,1,0,1
33045,,0,0,0,1,1,1,0,2,137.0,73113.0,0.0,0.0,26.0,96.15,4.0,11.0,31.0,0,0,1,0,1,0,1
33046,6.0,0,0,0,1,1,2,0,2,227.0,36240.0,0.0,0.0,598.0,81.77,3.827,13.0,21.0,0,0,1,0,1,0,3
33047,2.0,0,0,0,1,1,2,1,2,146.0,118615.0,3.0,3.0,96.0,97.92,4.0,11.0,30.0,1,0,1,0,1,0,1
33049,1.0,1,1,1,1,0,1,1,2,301.0,89136.0,0.0,0.0,835.0,96.41,3.79,13.0,32.0,0,0,1,0,1,0,1
33051,1.0,1,1,1,1,0,1,1,2,3.0,41053.0,0.0,0.0,448.0,72.99,3.6630000000000003,8.0,21.0,1,0,1,1,1,1,1
33052,6.0,0,0,0,1,1,1,1,2,1.0,43684.0,3.0,4.0,48.0,75.0,3.88,4.0,21.0,1,0,1,1,1,0,1
33053,3.0,0,0,0,1,1,1,0,2,292.0,106579.0,2.0,3.0,1043.0,86.48,3.73,11.0,30.0,1,0,1,0,1,0,1
33054,6.0,0,0,0,1,1,1,0,2,330.0,107379.0,3.0,3.0,477.0,67.3,3.71,4.0,25.0,0,0,1,0,1,0,2
33057,,0,0,0,1,1,1,0,2,201.0,59112.0,3.0,2.0,98.0,95.92,3.97,1.0,26.0,1,0,1,0,1,0,1
33059,6.0,0,0,0,1,1,2,0,2,183.0,38226.0,0.0,0.0,590.0,71.36,3.39,10.0,29.0,0,0,1,0,1,0,1
33060,3.0,0,0,0,1,0,1,0,0,234.0,39750.0,0.0,0.0,714.0,97.48,3.86,10.0,26.0,0,0,1,0,1,1,3
33061,1.0,1,1,1,1,0,1,1,2,22.0,44605.0,2.0,3.0,69.0,98.55,4.0,8.0,33.0,1,0,1,1,1,1,1
33064,,0,0,0,1,0,1,0,2,307.0,128239.0,0.0,0.0,450.0,68.67,3.795,5.0,21.0,0,0,1,0,1,0,1
33073,6.0,0,0,0,1,1,1,1,2,150.0,101887.0,4.0,3.0,460.0,76.96,3.9785,3.0,19.0,1,0,1,0,1,1,1
33084,3.0,0,0,0,1,0,1,0,2,162.0,51108.0,0.0,0.0,455.0,88.79,3.6319999999999997,8.0,19.0,1,0,1,0,1,0,1
33087,,0,0,0,1,1,2,1,2,96.0,43371.0,2.0,4.0,173.0,83.82,3.64,4.0,25.0,1,0,1,0,1,0,3
33088,6.0,0,0,0,1,1,1,0,2,394.0,31053.0,1.0,3.0,427.0,77.75,3.565,2.0,18.0,0,0,1,0,1,0,3
33089,,0,0,0,1,1,2,0,2,227.0,46838.0,1.0,1.0,647.0,64.45,3.486,10.0,18.0,0,0,1,0,1,0,3
33093,,0,0,0,1,1,1,0,2,212.0,57231.0,3.0,1.0,616.0,90.91,4.183,13.0,23.0,0,0,1,0,1,0,3
33094,,0,0,0,1,1,1,0,2,139.0,37328.0,0.0,0.0,319.0,94.98,3.91,7.0,18.0,0,0,1,0,1,0,2
33095,,0,0,0,1,1,1,0,2,153.0,57061.0,0.0,0.0,445.0,88.54,3.6,8.0,22.0,0,0,1,0,1,0,3
33107,,1,1,1,1,0,1,0,2,181.0,53173.0,2.0,3.0,350.0,88.57,3.75,13.0,21.0,1,0,1,0,1,0,3
33114,,0,0,0,1,1,2,0,2,146.0,85177.0,1.0,1.0,612.0,81.37,3.957,5.0,28.0,0,0,1,0,1,0,1
33116,,0,0,0,1,1,1,0,2,342.0,70186.0,0.0,0.0,551.0,79.67,3.26,12.0,24.0,0,0,1,0,1,0,1
33117,,0,0,0,1,1,2,0,2,123.0,76296.0,2.0,3.0,411.0,61.56,3.61,7.0,25.0,0,0,1,0,1,0,1
33125,6.0,1,1,1,1,0,1,0,2,312.0,44673.0,3.0,4.0,332.0,88.25,3.97,4.0,23.0,1,0,1,0,1,0,1
33126,6.0,1,1,1,1,0,1,0,2,312.0,44673.0,3.0,4.0,332.0,88.25,3.79,4.0,23.0,1,0,1,0,1,0,1
33130,6.0,0,0,0,1,1,1,0,1,149.0,59417.0,0.0,2.0,798.0,53.13,2.98,9.0,20.0,0,0,1,0,1,1,4
33139,1.0,0,0,0,1,1,1,0,1,158.0,36385.0,2.0,4.0,55.0,85.45,3.6,0.0,19.0,1,0,1,0,1,0,3
33141,6.0,0,0,0,0,0,1,0,2,171.0,54457.0,3.0,3.0,45.0,22.22,2.57,0.0,18.0,0,0,1,0,1,0,2
33142,,0,0,0,1,1,1,0,2,172.0,77083.0,1.0,1.0,31.0,64.52,3.62,1.0,24.0,0,0,1,0,1,0,1
33144,3.0,0,0,0,1,1,2,0,2,214.0,52976.0,2.0,2.0,470.0,86.38,3.76,12.0,22.0,1,0,1,0,1,0,1
33145,6.0,0,0,0,1,1,1,0,2,181.0,61602.0,3.0,3.0,548.0,85.77,3.62,6.0,18.0,0,0,1,0,1,0,2
33148,6.0,0,0,0,1,1,1,0,2,438.0,54231.0,0.0,0.0,484.0,86.16,3.127,11.0,18.0,0,0,1,0,1,0,3
33149,6.0,0,0,0,1,1,2,0,1,224.0,40962.0,2.0,3.0,111.0,63.06,3.59,11.0,21.0,1,0,1,0,1,0,3
33151,6.0,0,0,0,0,1,2,0,2,321.0,38281.0,0.0,0.0,274.0,39.42,3.09,5.0,14.0,0,0,1,0,1,0,2
33158,1.0,1,1,1,1,0,1,1,2,7.0,84896.0,4.0,4.0,216.0,69.91,3.695,3.0,23.0,1,0,1,1,1,0,1
33161,6.0,0,0,0,0,1,1,0,2,143.0,81333.0,3.0,4.0,516.0,57.17,3.451,9.0,19.0,1,0,1,0,1,0,3
33162,,0,0,0,1,0,1,0,2,309.0,23033.0,1.0,3.0,664.0,75.15,2.98,5.0,22.0,0,0,1,0,1,0,2
33169,6.0,0,0,0,1,1,2,0,2,163.0,65222.0,0.0,0.0,233.0,70.39,3.7889999999999997,4.0,21.0,0,0,1,0,1,0,1
33170,6.0,0,0,0,1,1,2,0,2,89.0,34103.0,0.0,0.0,162.0,69.75,3.13,2.0,19.0,0,0,1,0,1,0,1
33171,5.0,0,0,0,1,1,2,0,2,132.0,57563.0,3.0,3.0,230.0,90.43,3.61,12.0,31.0,0,0,1,0,1,0,1
33172,,0,0,0,1,1,1,0,2,183.0,54167.0,0.0,0.0,538.0,96.84,3.81,9.0,25.0,0,0,1,0,1,0,1
33176,6.0,0,0,0,1,1,1,0,2,226.0,34338.0,0.0,0.0,366.0,89.89,4.016,11.0,21.0,0,0,1,0,1,0,3
33755,3.0,1,0,0,1,0,1,0,2,402.0,61069.0,2.0,3.0,621.0,91.63,4.0,0.0,28.0,1,0,1,0,1,0,3
33757,6.0,0,0,0,1,1,2,0,2,3.0,85053.0,0.0,0.0,467.0,74.52,3.77,6.0,22.0,0,0,1,1,1,0,3
33769,6.0,0,0,0,1,1,2,1,2,129.0,50932.0,0.0,0.0,198.0,73.23,3.5,3.0,18.0,0,0,1,0,1,0,1
33773,,0,0,0,1,1,2,0,2,153.0,33431.0,0.0,0.0,395.0,81.52,3.72,0.0,25.0,0,0,1,0,1,0,3
33779,6.0,0,0,0,1,1,1,0,2,219.0,90057.0,2.0,1.0,57.0,89.47,3.9528,11.0,26.0,0,0,1,0,1,0,4
33780,,1,0,0,1,0,1,0,2,180.0,79873.0,0.0,0.0,1578.0,87.39,3.29,9.0,34.0,1,0,1,0,1,0,1
33791,,0,0,0,1,1,1,0,2,79.0,53777.0,2.0,2.0,82.0,45.12,3.88,0.0,21.0,1,0,1,0,1,0,3
33794,4.0,0,0,0,1,0,1,0,2,302.0,104424.0,2.0,3.0,721.0,39.25,3.07,6.0,19.0,0,0,1,0,1,0,2
33801,6.0,0,0,0,1,1,2,0,2,171.0,55988.0,0.0,0.0,429.0,91.61,3.5,0.0,21.0,0,0,1,0,1,1,2
33802,3.0,0,0,0,1,0,1,0,2,147.0,86287.0,2.0,3.0,486.0,86.01,3.48,12.0,21.0,0,0,1,0,1,0,3
33803,6.0,0,0,0,0,1,2,1,2,147.0,87500.0,0.0,0.0,550.0,23.64,2.98,2.0,18.0,1,0,1,0,1,0,2
33807,,0,0,0,1,0,2,0,2,159.0,59198.0,0.0,0.0,296.0,56.08,3.0,1.0,18.0,0,0,1,0,1,0,1
33809,6.0,0,0,0,1,1,1,0,2,163.0,51744.0,0.0,0.0,224.0,81.25,3.4717,0.0,23.0,0,0,1,0,1,0,2
33810,,0,0,0,1,0,1,0,2,142.0,106731.0,0.0,0.0,673.0,77.41,3.4,0.0,20.0,0,0,1,0,1,0,3
33815,,0,0,0,1,1,1,0,2,201.0,111280.0,3.0,3.0,37.0,91.89,3.69,3.0,22.0,0,0,1,0,1,0,1
